Designator,Mid X,Mid Y,Rotation,Layer
C1,136.916,-48.54,270.0,top
C2,124.316,-47.115,270.0,top
C3,134.816,-49.64,270.0,top
C4,120.916,-45.84,90.0,top
C5,128.316,-56.64,0.0,top
D1,135.89,-39.4575,90.0,top
D2,125.454,-39.4575,270.0,top
D3,128.116,-51.54,0.0,top
J1,153.0,-126.3795,0.0,top
J10,74.8936,-75.6082,270.0,top
J11,74.8936,-109.2978,270.0,top
J3,110.0,-127.729,0.0,top
J4,132.235,-127.729,0.0,top
J5,90.091,-127.729,0.0,top
J6,74.8936,-58.7318,270.0,top
J7,74.8936,-92.356,270.0,top
J8,74.8936,-124.42,270.0,top
J9,74.8936,-41.9932,270.0,top
L1,121.016,-53.24,270.0,top
R1,135.216,-45.04,0.0,top
R2,137.79,-39.4575,90.0,top
R3,127.254,-39.4575,270.0,top
R4,119.316,-45.84,90.0,top
R5,122.516,-45.84,270.0,top
U1,124.106,-82.802,0.0,top
U2,129.816,-46.94,180.0,top
